,name,category,ingredient
0,Gauguin,Cocktail Classics,Light Rum
1,Gauguin,Cocktail Classics,Passion Fruit Syrup
2,Gauguin,Cocktail Classics,Lemon Juice
3,Gauguin,Cocktail Classics,Lime Juice
4,Fort Lauderdale,Cocktail Classics,Light Rum
5,Fort Lauderdale,Cocktail Classics,Sweet Vermouth
6,Fort Lauderdale,Cocktail Classics,Juice of Orange
7,Fort Lauderdale,Cocktail Classics,Juice of a Lime
8,Apple Pie,Cordials and Liqueurs,Apple schnapps
9,Apple Pie,Cordials and Liqueurs,Cinnamon schnapps
10,Cuban Cocktail No. 1,Cocktail Classics,Juice of a Lime
11,Cuban Cocktail No. 1,Cocktail Classics,Powdered Sugar
12,Cuban Cocktail No. 1,Cocktail Classics,Light Rum
13,Cool Carlos,Cocktail Classics,Dark rum
14,Cool Carlos,Cocktail Classics,Cranberry Juice
15,Cool Carlos,Cocktail Classics,Pineapple Juice
16,Cool Carlos,Cocktail Classics,Orange curacao
17,Cool Carlos,Cocktail Classics,Sour Mix
18,John Collins,Whiskies,Bourbon whiskey
19,John Collins,Whiskies,Fresh lemon juice
20,John Collins,Whiskies,Simple Syrup
21,John Collins,Whiskies,Soda water
22,John Collins,Whiskies,"Orange and lemon wheels, maraschino cherry"
23,Cherry Rum,Cocktail Classics,Light Rum
24,Cherry Rum,Cocktail Classics,cherry-flavored brandy
25,Cherry Rum,Cocktail Classics,Light cream
26,Casa Blanca,Cocktail Classics,Light Rum
27,Casa Blanca,Cocktail Classics,Lime Juice
28,Casa Blanca,Cocktail Classics,Triple Sec
29,Casa Blanca,Cocktail Classics,Maraschino
30,Caribbean Champagne,Cocktail Classics,Light Rum
31,Caribbean Champagne,Cocktail Classics,Creme de banana
32,Amber Amour,Cordials and Liqueurs,Amaretto
33,Amber Amour,Cordials and Liqueurs,Fresh lemon juice
34,Amber Amour,Cordials and Liqueurs,Simple Syrup
35,The Joe Lewis,Whiskies,Scotch Whiskey
36,The Joe Lewis,Whiskies,Fresh carrot juice
37,The Joe Lewis,Whiskies,Tawny port
38,The Joe Lewis,Whiskies,Fresh lemon juice
39,The Joe Lewis,Whiskies,Agave nectar
40,Bacardi Cocktail,Cocktail Classics,Bacardi Rum
41,Bacardi Cocktail,Cocktail Classics,Juice of a Lime
42,Bacardi Cocktail,Cocktail Classics,Grenadine
43,Apple Pie No. 1,Cocktail Classics,Light Rum
44,Apple Pie No. 1,Cocktail Classics,Sweet Vermouth
45,Apple Pie No. 1,Cocktail Classics,Apple Brandy
46,Apple Pie No. 1,Cocktail Classics,Grenadine
47,Apple Pie No. 1,Cocktail Classics,Lemon Juice
48,Yolanda,Cocktail Classics,Brandy
49,Yolanda,Cocktail Classics,Gin
50,Yolanda,Cocktail Classics,Anisette
51,Yolanda,Cocktail Classics,Sweet Vermouth
52,Yolanda,Cocktail Classics,Grenadine
53,Yellow Rattler,Cocktail Classics,Gin
54,Yellow Rattler,Cocktail Classics,Orange Juice
55,Yellow Rattler,Cocktail Classics,Dry Vermouth
56,Yellow Rattler,Cocktail Classics,Sweet Vermouth
57,Why Not?,Cocktail Classics,Gin
58,Why Not?,Cocktail Classics,Apricot Flavored Brandy
59,Why Not?,Cocktail Classics,Dry Vermouth
60,Why Not?,Cocktail Classics,Lemon Juice
61,Amaretto Stinger,Cordials and Liqueurs,Amaretto
62,Amaretto Stinger,Cordials and Liqueurs,White creme de menthe
63,What The Hell,Cocktail Classics,Gin
64,What The Hell,Cocktail Classics,Dry Vermouth
65,What The Hell,Cocktail Classics,Apricot Flavored Brandy
66,What The Hell,Cocktail Classics,Lemon Juice
67,Webster Cocktail,Cocktail Classics,Juice of a Lime
68,Webster Cocktail,Cocktail Classics,Apricot Flavored Brandy
69,Webster Cocktail,Cocktail Classics,Dry Vermouth
70,Webster Cocktail,Cocktail Classics,Gin
71,Union Jack Cocktail,Cocktail Classics,Sloe gin
72,Union Jack Cocktail,Cocktail Classics,Gin
73,Union Jack Cocktail,Cocktail Classics,Grenadine
74,Jocose Julep,Whiskies,Bourbon whiskey
75,Jocose Julep,Whiskies,Green creme de menthe
76,Jocose Julep,Whiskies,Fresh Lime Juice
77,Jocose Julep,Whiskies,Simple Syrup
78,Jocose Julep,Whiskies,Fresh mint leaves
79,Trinity Cocktail,Cocktail Classics,Sweet Vermouth
80,Trinity Cocktail,Cocktail Classics,Dry Vermouth
81,Trinity Cocktail,Cocktail Classics,Gin
82,Three Stripes Cocktail,Cocktail Classics,Gin
83,Three Stripes Cocktail,Cocktail Classics,Dry Vermouth
84,Three Stripes Cocktail,Cocktail Classics,Orange Juice
85,Tanq-A-Rita,Cocktail Classics,Tanqueray gin
86,Tanq-A-Rita,Cocktail Classics,Margarita Mix
87,Tanq-A-Rita,Cocktail Classics,Triple Sec
88,Amaretto Sour,Cordials and Liqueurs,Amaretto
89,Amaretto Sour,Cordials and Liqueurs,Fresh lemon juice
90,Amaretto Sour,Cordials and Liqueurs,Simple Syrup
91,Amaretto Sour,Cordials and Liqueurs,Orange half-wheel
92,Tailspin Cocktail,Cocktail Classics,Gin
93,Tailspin Cocktail,Cocktail Classics,Sweet Vermouth
94,Tailspin Cocktail,Cocktail Classics,Green Chartreuse
95,Tailspin Cocktail,Cocktail Classics,Orange Bitters
96,Sweet Patootie Cocktail,Cocktail Classics,Gin
97,Sweet Patootie Cocktail,Cocktail Classics,Triple Sec
98,Sweet Patootie Cocktail,Cocktail Classics,Orange Juice
99,Sunshine Cocktail,Cocktail Classics,Sweet Vermouth
100,Sunshine Cocktail,Cocktail Classics,Gin
101,Sunshine Cocktail,Cocktail Classics,Bitters
102,Spring Feeling Cocktail,Cocktail Classics,Lemon Juice
103,Spring Feeling Cocktail,Cocktail Classics,Green Chartreuse
104,Spring Feeling Cocktail,Cocktail Classics,Gin
105,Sphinx Cocktail,Cocktail Classics,Gin
106,Sphinx Cocktail,Cocktail Classics,Sweet Vermouth
107,Sphinx Cocktail,Cocktail Classics,Dry Vermouth
108,Jitterbug Sour,Whiskies,Straight rye whiskey
109,Jitterbug Sour,Whiskies,Benedictine
110,Jitterbug Sour,Whiskies,Fresh lemon juice
111,Jitterbug Sour,Whiskies,Honey Syrup
112,Jitterbug Sour,Whiskies,Egg White
113,Jitterbug Sour,Whiskies,Angostura Bitters
114,Southern Gin Cocktail,Cocktail Classics,Gin
115,Southern Gin Cocktail,Cocktail Classics,Orange Bitters
116,Southern Gin Cocktail,Cocktail Classics,Triple Sec
117,Society Cocktail,Cocktail Classics,Gin
118,Society Cocktail,Cocktail Classics,Dry Vermouth
119,Society Cocktail,Cocktail Classics,Grenadine
120,Snyder,Cocktail Classics,Gin
121,Snyder,Cocktail Classics,Dry Vermouth
122,Snyder,Cocktail Classics,Triple Sec
123,Smiler Cocktail,Cocktail Classics,Sweet Vermouth
124,Smiler Cocktail,Cocktail Classics,Dry Vermouth
125,Smiler Cocktail,Cocktail Classics,Gin
126,Smiler Cocktail,Cocktail Classics,Bitters
127,Smiler Cocktail,Cocktail Classics,Orange Juice
128,Smile Cocktail,Cocktail Classics,Grenadine
129,Smile Cocktail,Cocktail Classics,Gin
130,Smile Cocktail,Cocktail Classics,Lemon Juice
131,Amaretto Rose,Cordials and Liqueurs,Amaretto
132,Amaretto Rose,Cordials and Liqueurs,Fresh lemon juice
133,Amaretto Rose,Cordials and Liqueurs,Simple Syrup
134,Sand-Martin Cocktail,Cocktail Classics,Green Chartreuse
135,Sand-Martin Cocktail,Cocktail Classics,Sweet Vermouth
136,Sand-Martin Cocktail,Cocktail Classics,Gin
137,Irish Whiskey Highball,Whiskies,Irish Whiskey
138,Irish Whiskey Highball,Whiskies,Ginger ale or soda water
139,Irish Whiskey Highball,Whiskies,Lemon twist (optional)
140,Japanese,Brandy,Brandy
141,Japanese,Brandy,orgeat or almond syrup
142,Japanese,Brandy,Angostura Bitters
143,Roselyn Cocktail,Cocktail Classics,Dry Vermouth
144,Roselyn Cocktail,Cocktail Classics,Gin
145,Roselyn Cocktail,Cocktail Classics,Grenadine
146,Resolute Cocktail,Cocktail Classics,Juice of a Lemon
