,name,category,row_id,ingredient_number,ingredient,measure
0,Gauguin,Cocktail Classics,1,1,Light Rum,2 oz
1,Gauguin,Cocktail Classics,1,2,Passion Fruit Syrup,1 oz
2,Gauguin,Cocktail Classics,1,3,Lemon Juice,1 oz
3,Gauguin,Cocktail Classics,1,4,Lime Juice,1 oz
4,Fort Lauderdale,Cocktail Classics,2,1,Light Rum,1 1/2 oz
5,Fort Lauderdale,Cocktail Classics,2,2,Sweet Vermouth,1/2 oz
6,Fort Lauderdale,Cocktail Classics,2,3,Juice of Orange,1/4 oz
7,Fort Lauderdale,Cocktail Classics,2,4,Juice of a Lime,1/4 oz
8,Apple Pie,Cordials and Liqueurs,3,1,Apple schnapps,3 oz
9,Apple Pie,Cordials and Liqueurs,3,2,Cinnamon schnapps,1 oz
10,Cuban Cocktail No. 1,Cocktail Classics,4,1,Juice of a Lime,1/2 oz
11,Cuban Cocktail No. 1,Cocktail Classics,4,2,Powdered Sugar,1/2 oz
12,Cuban Cocktail No. 1,Cocktail Classics,4,3,Light Rum,2 oz
13,Cool Carlos,Cocktail Classics,5,1,Dark rum,1 1/2 oz
14,Cool Carlos,Cocktail Classics,5,2,Cranberry Juice,2 oz
15,Cool Carlos,Cocktail Classics,5,3,Pineapple Juice,2 oz
16,Cool Carlos,Cocktail Classics,5,4,Orange curacao,1 oz
17,Cool Carlos,Cocktail Classics,5,5,Sour Mix,1 oz
18,John Collins,Whiskies,6,1,Bourbon whiskey,2 oz
19,John Collins,Whiskies,6,2,Fresh lemon juice,1 oz
20,John Collins,Whiskies,6,3,Simple Syrup,1/2 oz
21,John Collins,Whiskies,6,4,Soda water,1 oz
22,John Collins,Whiskies,6,5,"Orange and lemon wheels, maraschino cherry",1 oz
23,Cherry Rum,Cocktail Classics,7,1,Light Rum,1 1/4 oz
24,Cherry Rum,Cocktail Classics,7,2,cherry-flavored brandy,1 1/2 oz
25,Cherry Rum,Cocktail Classics,7,3,Light cream,1 oz
26,Casa Blanca,Cocktail Classics,8,1,Light Rum,2 oz
27,Casa Blanca,Cocktail Classics,8,2,Lime Juice,1 1/2 oz
28,Casa Blanca,Cocktail Classics,8,3,Triple Sec,1 1/2 oz
29,Casa Blanca,Cocktail Classics,8,4,Maraschino,1 1/2 oz
30,Caribbean Champagne,Cocktail Classics,9,1,Light Rum,1/2 oz
31,Caribbean Champagne,Cocktail Classics,9,2,Creme de banana,1/2 oz
32,Amber Amour,Cordials and Liqueurs,10,1,Amaretto,1 1/2 oz
33,Amber Amour,Cordials and Liqueurs,10,2,Fresh lemon juice,1/4 oz
34,Amber Amour,Cordials and Liqueurs,10,3,Simple Syrup,1/4 oz
35,The Joe Lewis,Whiskies,11,1,Scotch Whiskey,1 1/2 oz
36,The Joe Lewis,Whiskies,11,2,Fresh carrot juice,1 oz
37,The Joe Lewis,Whiskies,11,3,Tawny port,3/4 oz
38,The Joe Lewis,Whiskies,11,4,Fresh lemon juice,1/2 oz
39,The Joe Lewis,Whiskies,11,5,Agave nectar,1 oz
40,Bacardi Cocktail,Cocktail Classics,12,1,Bacardi Rum,1 1/2 oz
41,Bacardi Cocktail,Cocktail Classics,12,2,Juice of a Lime,1/2 oz
42,Bacardi Cocktail,Cocktail Classics,12,3,Grenadine,1/2 oz
43,Apple Pie No. 1,Cocktail Classics,13,1,Light Rum,3/4 oz
44,Apple Pie No. 1,Cocktail Classics,13,2,Sweet Vermouth,3/4 oz
45,Apple Pie No. 1,Cocktail Classics,13,3,Apple Brandy,1 oz
46,Apple Pie No. 1,Cocktail Classics,13,4,Grenadine,1/2 oz
47,Apple Pie No. 1,Cocktail Classics,13,5,Lemon Juice,1 oz
48,Yolanda,Cocktail Classics,14,1,Brandy,1/2 oz
49,Yolanda,Cocktail Classics,14,2,Gin,1/2 oz
50,Yolanda,Cocktail Classics,14,3,Anisette,1/2 oz
51,Yolanda,Cocktail Classics,14,4,Sweet Vermouth,1 oz
